,batter_name,batter_batting_average,batter_walk_rate,batter_strikeout_rate,batter_contact_rate,batter_slugging_percent,batter_on_base_percentage,batter_whiff_rate,batter_singles_average,batter_doubles_triple_average,batter_home_run_average
1295989,Mike Trout,0.2264150943396226,0.1020408163265306,0.1768707482993197,0.8025751072961373,0.5566037735849056,0.3223140495867768,0.1974248927038626,0.1037735849056603,0.0283018867924528,0.0943396226415094
1264721,Christian Encarnacion-Strand,0.1946902654867256,0.02,0.2266666666666666,0.7068965517241379,0.3008849557522124,0.2155172413793103,0.293103448275862,0.1238938053097345,0.0530973451327433,0.0176991150442477
1261013,Jung Hoo Lee,0.2661870503597122,0.0559006211180124,0.0807453416149068,0.9030837004405288,0.3309352517985611,0.3108108108108108,0.0969162995594713,0.2302158273381295,0.0215827338129496,0.014388489208633
1233179,Braden Shewmake,0.135593220338983,0.0147058823529411,0.1176470588235294,0.7663551401869159,0.2203389830508474,0.15,0.2336448598130841,0.0847457627118644,0.0338983050847457,0.0169491525423728
1196406,Estevan Florial,0.1744186046511628,0.075187969924812,0.2781954887218045,0.592964824120603,0.3604651162790697,0.2604166666666667,0.4070351758793969,0.0581395348837209,0.0930232558139534,0.0232558139534883
1195492,Mike Ford,0.1636363636363636,0.028169014084507,0.1971830985915492,0.7452830188679245,0.2545454545454545,0.1929824561403508,0.2547169811320754,0.1272727272727272,0.0181818181818181,0.0181818181818181
1193474,Ronald Acuña Jr.,0.2460732984293193,0.0996309963099631,0.1955719557195571,0.727710843373494,0.3560209424083769,0.3394495412844037,0.272289156626506,0.1832460732984293,0.0418848167539267,0.0209424083769633
1192495,Evan Carter,0.1940298507462686,0.0652173913043478,0.2065217391304347,0.757847533632287,0.3805970149253731,0.2602739726027397,0.242152466367713,0.0970149253731343,0.0597014925373134,0.0373134328358208
1188980,Nick Madrigal,0.25,0.050632911392405,0.0886075949367088,0.8863636363636364,0.2941176470588235,0.2916666666666667,0.1136363636363636,0.2058823529411764,0.0441176470588235,0.0
1186077,Omar Narváez,0.1607142857142857,0.0428571428571428,0.1571428571428571,0.8278688524590164,0.1964285714285714,0.2033898305084746,0.1721311475409836,0.125,0.0357142857142857,0.0
1145919,Garrett Cooper,0.2197802197802197,0.056,0.216,0.7071823204419889,0.3296703296703296,0.2755102040816326,0.292817679558011,0.1428571428571428,0.0659340659340659,0.0109890109890109
1139383,Brett Baty,0.2214285714285714,0.0773195876288659,0.2010309278350515,0.7475409836065574,0.3071428571428571,0.2967741935483871,0.2524590163934426,0.1785714285714285,0.0214285714285714,0.0214285714285714
1132793,Alex Kirilloff,0.2097902097902098,0.0757575757575757,0.202020202020202,0.7046979865771812,0.4055944055944055,0.2848101265822785,0.2953020134228188,0.1048951048951049,0.0699300699300699,0.0349650349650349
1129424,José Abreu,0.1339285714285714,0.028169014084507,0.1830985915492957,0.7136563876651982,0.2053571428571428,0.1637931034482758,0.2863436123348017,0.0982142857142857,0.0178571428571428,0.0178571428571428
1128313,Daniel Vogelbach,0.1967213114754098,0.0617283950617283,0.1851851851851851,0.8314606741573034,0.3114754098360656,0.2575757575757575,0.1685393258426966,0.1147540983606557,0.0655737704918032,0.0163934426229508
1128278,Oliver Dunn,0.2567567567567567,0.048076923076923,0.2403846153846154,0.6737588652482269,0.3783783783783784,0.3037974683544304,0.3262411347517731,0.1891891891891892,0.054054054054054,0.0135135135135135
1115907,Yan Gomes,0.1547619047619047,0.0166666666666666,0.2833333333333333,0.6517412935323383,0.25,0.1744186046511628,0.3482587064676617,0.1071428571428571,0.0238095238095238,0.0238095238095238
1092270,Bobby Dalbec,0.1428571428571428,0.0701754385964912,0.3157894736842105,0.567741935483871,0.2142857142857142,0.2307692307692307,0.432258064516129,0.1,0.0285714285714285,0.0142857142857142
1084796,Alan Trejo,0.1272727272727272,0.0144927536231884,0.1884057971014492,0.7433628318584071,0.1272727272727272,0.1428571428571428,0.2566371681415929,0.1272727272727272,0.0,0.0
1087409,Nelson Velázquez,0.1948717948717948,0.0695970695970696,0.2161172161172161,0.639386189258312,0.3692307692307692,0.2663551401869158,0.3606138107416879,0.1128205128205128,0.0358974358974358,0.0461538461538461
1073536,Elehuris Montero,0.2065727699530516,0.0701754385964912,0.1824561403508772,0.7056277056277056,0.2957746478873239,0.2746781115879828,0.2943722943722944,0.1455399061032863,0.0469483568075117,0.0140845070422535
1056077,Tucker Barnhart,0.1710526315789473,0.1016949152542373,0.2542372881355932,0.6944444444444444,0.1973684210526315,0.2840909090909091,0.3055555555555556,0.1447368421052631,0.0263157894736842,0.0
1058688,Tim Anderson,0.2202643171806167,0.0233333333333333,0.22,0.6958333333333333,0.2334801762114537,0.2435897435897435,0.3041666666666666,0.2070484581497797,0.013215859030837,0.0
1042523,Gabriel Arias,0.2394366197183098,0.0257731958762886,0.2422680412371134,0.6257861635220126,0.380281690140845,0.2653061224489796,0.3742138364779874,0.1478873239436619,0.0704225352112676,0.0211267605633802
1046113,Joey Meneses,0.2384341637010676,0.0573770491803278,0.174863387978142,0.7699115044247787,0.3202846975088968,0.2913907284768212,0.2300884955752212,0.1814946619217081,0.0462633451957295,0.0106761565836298
1037677,Miguel Sanó,0.2236842105263158,0.0762711864406779,0.2796610169491525,0.6206896551724138,0.3421052631578947,0.3058823529411765,0.3793103448275862,0.1578947368421052,0.0394736842105263,0.0263157894736842
