pitcher_name,pitcher_walk_rate,pitcher_era,pitcher_strikeout_percentage,pitcher_batting_average_against,pitcher_home_run_average,pitcher_total_batters_faced
J.P. France,0.079646017699115,7.03125,0.1504424778761062,0.2743362831858407,0.0353982300884955,113.0
Alex Wood,0.1016949152542373,5.305466237942122,0.1807909604519774,0.2655367231638418,0.0282485875706214,177.0
Matt Manning,0.0918367346938775,4.372791519434629,0.2244897959183673,0.2142857142857142,0.0306122448979591,98.0
Cristian Javier,0.123076923076923,3.228962818003914,0.2,0.1692307692307692,0.023076923076923,130.0
Alex Lange,0.1851851851851851,2.553916004540295,0.2469135802469135,0.1604938271604938,0.0,81.0
Alek Manoah,0.0869565217391304,3.971756398940865,0.25,0.1739130434782608,0.0543478260869565,92.0
Mitch White,0.1274509803921568,7.486136783733826,0.1274509803921568,0.2352941176470588,0.0392156862745098,102.0
Sixto Sánchez,0.0884353741496598,6.255924170616114,0.1156462585034013,0.2653061224489796,0.0136054421768707,147.0
Michael Kelly,0.0634920634920634,2.67591674925669,0.1746031746031746,0.2142857142857142,0.0158730158730158,126.0
Robert Gasser,0.0109890109890109,1.9565217391304348,0.1428571428571428,0.2307692307692307,0.0,91.0
Ben Brown,0.0857142857142857,3.333333333333333,0.2904761904761905,0.1809523809523809,0.0142857142857142,210.0
Logan Allen,0.0775862068965517,3.670745272525028,0.1724137931034483,0.2241379310344827,0.0172413793103448,116.0
Kyle Bradish,0.0992907801418439,2.6223776223776225,0.3475177304964539,0.1702127659574468,0.0,141.0
Adam Cimber,0.1359223300970873,5.636743215031316,0.1844660194174757,0.1650485436893204,0.0097087378640776,103.0
Ray Kerr,0.0421052631578947,5.48780487804878,0.2842105263157894,0.2842105263157894,0.031578947368421,95.0
Jesús Luzardo,0.073076923076923,5.110317975340688,0.2153846153846154,0.2153846153846154,0.0269230769230769,260.0
Braxton Garrett,0.0303030303030303,6.100710135571337,0.2121212121212121,0.2651515151515151,0.0303030303030303,132.0
Sean Reid-Foley,0.146067415730337,1.6901408450704225,0.2696629213483146,0.1348314606741573,0.0,89.0
Jay Jackson,0.0727272727272727,6.756222836823389,0.2454545454545454,0.2363636363636363,0.0454545454545454,110.0
Victor González,0.1318681318681318,3.2330489447687474,0.1098901098901098,0.1318681318681318,0.0219780219780219,91.0
Keaton Winn,0.0833333333333333,6.666666666666667,0.2017543859649122,0.2236842105263158,0.0350877192982456,228.0
Patrick Sandoval,0.0948275862068965,5.239327296248384,0.2298850574712643,0.2385057471264367,0.0229885057471264,348.0
Tommy Henry,0.0981595092024539,6.23196768609348,0.1717791411042944,0.263803680981595,0.0429447852760736,163.0
Aaron Brooks,0.06,5.817174515235457,0.1,0.29,0.04,100.0
